"Timestamp","Køn (Gender) ","Alder (Age)","Hvor gammel var du, da du blev seksuelt aktiv? (How old were you when you first became sexually active?)","Hvad er din civilstatus? (What is your relationship status?) ","Er du i et åbent forhold? (Are you in an open relationship?)","Hvor tilfreds er du med dit sexliv? (How satisfied are you with your sex life?)","Hvor seksuelt eventyrlysten vil du sige, at du er? (How sexually adventurous would you say you are?)","Er du seksuelt aktiv i øjeblikket? (Are you currently sexually active?)","Hvor ofte har du normalt sex? (How often do you usually have sex?)","Onanerer du? (Do you masturbate?)","Hvor ofte plejer du at onanere? (How often do you usually masturbate?)","Ser du porno? (Do you watch porn?)","Hvor ofte ser du normalt porno? (How often do you usually watch porn?)","Har du nogensinde været i swingerklub? (Have you ever been to a swinger club?)","Sæt kryds ved alle du har besøgt. (Which one(s)? Check all that apply.)","Hvor mange gange har du været i swingerklub? (How many times have you been to a swinger club?) ","Hvordan fandt du klubben? (How did you find out about the club?) ","Ved dine venner at du swinger? ","Har klubben påvirket dine seksuelle interesser? (Has the club affected your sexual interests?)","Hvordan har det påvirket dine seksuelle interesser? (How as it affected your sexual interests?)","Har du nogensinde været til en sexfest? (Have you ever been to a sex party?)","Hvor mange gange har du været til sexfest? (How many times have you been to a sex party?) ","Hvordan fandt du disse sexfester? (How did you find out about these sex parties?) ","Ved dine venner, at du går til sexfester? (Do your friends know you go to sex parties?)","Har det påvirket dine seksuelle interesser? (Has it affected your sexual interests?)","Hvordan har det påvirket dine seksuelle interesser? (How as it affected your sexual interests?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Skriv eventuelle manglende kinks/interesser du har. (Write in any missing kinks/interests you participate in.) ","Hvor tror du, at dine seksuelle interesser kommer fra? (marker alt hvad der er relevant) (Where do you think your sexual interests have come from? (check all that apply))","Hvis du har andet du vil dele, eller kommentarer, kan du skrive dem her. (Any final thoughts you want to share?)"
"2022/06/02 8:11:00 PM GMT+2","Kvinde (Woman)","42","15","Single","","8","8","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","Tucan;Afrodite club","6-10","Venner (Friends)","Ja (Yes)","Ja (Yes)","Det har udvidet min horisont, jeg har prøvet noget af ","Nej, No","","","","","","Ja (Yes)","8","6","Ja (Yes)","8","3","Ja (Yes)","10","9","Nej (No)","","","Ja (Yes)","7","4","Nej (No)","","","Ja (Yes)","10","10","Ja (Yes)","10","2","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","6","Ja (Yes)","9","2","Ja (Yes)","7","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","4","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 8:11:45 PM GMT+2","Kvinde (Woman)","23","15","I et forhold (In a relationship)","Nej (No)","7","4","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","En gang om måned (Once a month)","Nej (No)","","Nej (No)","","","","","","","Nej, No","","","","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 8:12:21 PM GMT+2","Mand (Man)","35","15","Single","Nej (No)","8","9","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","Tucan;Swingland","2-5","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Mere åben, nysgerrig, fordomsfri ","Nej, No","","","","","","Nej (No)","","","Ja (Yes)","9","2","Ja (Yes)","9","4","Ja (Yes)","10","6","Ja (Yes)","10","6","Nej (No)","","","Ja (Yes)","7","4","Ja (Yes)","8","3","Ja (Yes)","9","6","Ja (Yes)","9","6","Ja (Yes)","10","6","Nej (No)","","","Ja (Yes)","8","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","3","","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 8:16:16 PM GMT+2","Mand (Man)","44","17","Gift (Married","Ja (yes)","9","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;CitySwingers","10+","Søgt online (Searched online)","Nej (No)","Nej (No)","","Nej, No","","","","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","3","Ja (Yes)","5","2","Ja (Yes)","4","2","Nej (No)","","","Ja (Yes)","5","6","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","8","Nej (No)","","","Ja (Yes)","10","4","Ja (Yes)","9","5","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","1","Nej (No)","","","","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc)",""
"2022/06/02 8:16:46 PM GMT+2","Kvinde (Woman)","35","16","Single","Nej (No)","8","5","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Tucan","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Givet mig mulighed for at prøve ting, jeg ellers ikke har kunnet, har udvilket mine interesser ","Nej, No","","","","","","Nej (No)","","","Ja (Yes)","4","2","Ja (Yes)","8","1","Ja (Yes)","10","7","Ja (Yes)","10","3","Nej (No)","","","Ja (Yes)","8","10","Ja (Yes)","8","7","Nej (No)","","","Ja (Yes)","7","3","Ja (Yes)","10","7","Nej (No)","","","Ja (Yes)","8","7","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 8:17:05 PM GMT+2","Kvinde (Woman)","36","16","Gift (Married","Nej (No)","6","9","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Nej (No)","","Ja (Yes)","Tucan","10+","Søgt online (Searched online)","Nej (No)","Ja (Yes)","Blevet mere nysgerrige på flere i legen og andre partnere","Nej, No","","","","","","Ja (Yes)","7","3","Ja (Yes)","8","5","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","8","Nej (No)","","","Ja (Yes)","10","7","Ja (Yes)","7","2","Nej (No)","","","Ja (Yes)","9","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 8:25:34 PM GMT+2","Kvinde (Woman)","47","14","Gift (Married","Nej (No)","7","7","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Tucan;CitySwingers","2-5","Min partner eller en tidligere partner (My partner or a previous partner)","Nej (No)","Nej (No)","","Nej, No","","","","","","Ja (Yes)","7","3","Ja (Yes)","9","6","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","6","Nej (No)","","","Ja (Yes)","5","3","Ja (Yes)","5","2","Nej (No)","","","Ja (Yes)","5","2","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","4","Ja (Yes)","6","3","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","3","Ja (Yes)","6","2","","Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 8:25:50 PM GMT+2","Kvinde (Woman)","23","19","I et forhold (In a relationship)","Nej (No)","3","2","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Nej (No)","","Nej (No)","","","","","","","Nej, No","","","","","","Nej (No)","","","Ja (Yes)","4","2","Ja (Yes)","10","3","Nej (No)","","","Ja (Yes)","10","6","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","2","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 8:29:42 PM GMT+2","Kvinde (Woman)","31","19 (rape)","I et forhold (In a relationship)","Nej (No)","10","5","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","1","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","7","Ja (Yes)","6","6","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","tantra","love, connectivity, self awareness ","Sex as in Hindu and Buddhist traditions. Tantra is about more than sex but elements of the practice bring the sexual experience to new levels of sensation. Incorporating deeper elements of connection and pleasure, through mindfulness, bodily and partner awareness, and spirituality. For paper, could consider the dopaminergic system and how over exposure to exogenous stimuli, continuously raises the baseline resulting in a need for kinkier and more intense exposure to get the same release as with the initial experience. How dopamine works - what was amazing one day, becomes normalised the next and after that no longer enough. Biohacking for better sex."
"2022/06/02 8:30:33 PM GMT+2","Mand (Man)","43","18","Gift (Married","Ja (yes)","8","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","Tucan","2-5","Har hørt om den i medierne","Ja (Yes)","Nej (No)","","Nej, No","","","","","","Ja (Yes)","9","2","Ja (Yes)","9","1","Ja (Yes)","9","1","Nej (No)","","","Ja (Yes)","10","6","Nej (No)","","","Ja (Yes)","8","2","Ja (Yes)","9","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","2","Ja (Yes)","8","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","5","Nej (No)","","","Smoking fetish ","Porno (porn);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 8:38:42 PM GMT+2","Kvinde (Woman)","28","15","Gift (Married","Nej (No)","3","10","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Nej (No)","","Nej (No)","","Ja (Yes)","Tucan;Dark Secret;Afrodite club;Joys","10+","Søgt online (Searched online)","Nej (No)","Nej (No)","","Ja, Yes","6-10","Sociale medie (Social media)","Nej (No)","Nej (No)","","Ja (Yes)","7","4","Nej (No)","","","Ja (Yes)","9","6","Ja (Yes)","9","2","Ja (Yes)","10","7","Nej (No)","","","Ja (Yes)","8","6","Ja (Yes)","10","6","Ja (Yes)","8","1","Ja (Yes)","9","2","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","6","Ja (Yes)","10","7","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","2","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Nyskerighed ","Kunne være dejligt hvis man kunne komme med en kommentar til ens svar "
"2022/06/02 8:48:41 PM GMT+2","Kvinde (Woman)","36","14","Gift (Married","Nej (No)","10","10","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Tucan","2-5","Søgt online (Searched online)","Nej (No)","Ja (Yes)","Mere modig og grænsesøgende.","Nej, No","","","","","","Ja (Yes)","8","5","Nej (No)","","","Ja (Yes)","10","6","Ja (Yes)","8","5","Ja (Yes)","10","9","Nej (No)","","","Ja (Yes)","9","4","Ja (Yes)","10","4","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","7","Nej (No)","","","Ja (Yes)","10","3","Ja (Yes)","10","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Rimme","Porno (porn);Lyst",""
"2022/06/02 8:48:42 PM GMT+2","Kvinde (Woman)","41","15","I et forhold (In a relationship)","Ja (yes)","6","8","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Dark Secret;CitySwingers;Swingergaarden;Afrodite club;Joys","10+","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Ved at være åben omkring min seksualitet","Ja, Yes","2-5","Venner (Friends)","Nej (No)","Nej (No)","","Ja (Yes)","10","1","Ja (Yes)","9","1","Ja (Yes)","8","1","Ja (Yes)","5","1","Ja (Yes)","5","1","Ja (Yes)","7","1","Ja (Yes)","6","1","Nej (No)","","","Ja (Yes)","10","2","Ja (Yes)","10","1","Ja (Yes)","8","5","Nej (No)","","","Ja (Yes)","6","1","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","1","","Porno (porn);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)","Jeg udlever ikke mine seksuelle lyster pt da jeg har fundet en partner der ikke er til det. Dette gør at jeg føler mig fanget i mine lyster"
"2022/06/02 8:51:06 PM GMT+2","Kvinde (Woman)","37","14","I et forhold (In a relationship)","Ja (yes)","9","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Nej (No)","","Ja (Yes)","Tucan;Joys","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Fået lyst til f.eks. trekanter, stag/vixen, double penetration mm.","Nej, No","","","","","","Ja (Yes)","10","10","Ja (Yes)","10","6","Ja (Yes)","10","10","Ja (Yes)","6","4","Ja (Yes)","7","5","Nej (No)","","","Ja (Yes)","10","4","Ja (Yes)","4","3","Ja (Yes)","9","4","Ja (Yes)","9","4","Ja (Yes)","7","5","Nej (No)","","","Ja (Yes)","3","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","5","Stag/Vixen, Bloodchoke, Nåle ","Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)","Dine skalaer var lidt off... Det var fint med ""hvor meget nyder du det"" - men den næste skala, altså ""hvor ofte"", Hvad var de invidiuelle prikker? Det bliver en mega random svar. Så overvej dine skalaer, få hvad er forskel f.eks. på svarmulighed 3,4,5 eller 6? Det er rent gætteri.  "
"2022/06/02 8:54:25 PM GMT+2","Kvinde (Woman)","38","14","Single","Nej (No)","8","9","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan","6-10","Min partner eller en tidligere partner (My partner or a previous partner)","Nej (No)","Ja (Yes)","Jeg får naturligvis vækket nye lyster  og rykket mine grænser stille og roligt ","Nej, No","","","","","","Ja (Yes)","9","3","Ja (Yes)","9","3","Ja (Yes)","10","5","Nej (No)","","","Ja (Yes)","9","2","Nej (No)","","","Ja (Yes)","8","2","Nej (No)","","","Ja (Yes)","8","2","Ja (Yes)","9","2","Ja (Yes)","8","3","Nej (No)","","","Ja (Yes)","6","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 8:55:34 PM GMT+2","Kvinde (Woman)","28","15","Single","Nej (No)","7","6","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","7","3","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","3","Ja (Yes)","6","2","Nej (No)","","","Ja (Yes)","5","1","Ja (Yes)","8","2","Nej (No)","","","Ja (Yes)","5","5","Ja (Yes)","5","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","2","","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 8:55:50 PM GMT+2","Kvinde (Woman)","22","14","I et forhold (In a relationship)","Nej (No)","5","9","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Nej (No)","","Ja (Yes)","Tucan;Joys","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Ja (Yes)","Blevet mere åben og fundet sider af mig selv jeg ike vidste jeg havde. Fundet ud af at jeg tænder på andre ting end man først troede.","Ja, Yes","1","Venner (Friends)","Ja (Yes)","Ja (Yes)","Har kun prøvet det en gang men bondage fandt jeg ud af at jeg godt kune lide","Ja (Yes)","7","2","Ja (Yes)","9","1","Ja (Yes)","8","5","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","1","Ja (Yes)","6","1","Nej (No)","","","Ja (Yes)","6","3","Ja (Yes)","7","3","Ja (Yes)","9","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","2","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)","Har tidligere været swinger og savner det helt vildt meget. Men grundet min nuværende partner ikke vil i swinger klub, så er jeg nødt til at ligge bånd på mig selv. Det gør at jeg nogle gange er meget trist da jeg bliver opmærksom på at jeg har visse behov der ikke bliver opfyldt. "
"2022/06/02 8:57:58 PM GMT+2","Mand (Man)","23","18","Single","Nej (No)","8","5","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","","","","","","Nej, No","","","","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","2","Nej (No)","","","Ja (Yes)","6","3","Ja (Yes)","4","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","5","","Porno (porn);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 8:58:38 PM GMT+2","Kvinde (Woman)","19","15","Single","Nej (No)","8","5","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","5","2","Ja (Yes)","6","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","4","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","7","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","4","","Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 8:59:22 PM GMT+2","Kvinde (Woman)","40","17","Single","Nej (No)","2","6","Nej (No)","","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om året (A few times a year)","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","10","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","4","Ja (Yes)","4","1","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 9:06:03 PM GMT+2","Kvinde (Woman)","49","16","I et forhold (In a relationship)","Nej (No)","10","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan","2-5","Min partner eller en tidligere partner (My partner or a previous partner)","Nej (No)","Ja (Yes)","Har fået øjnene op for mange spændende seksuelle genrer og er blevet meget mere afslappet i forhold til sex ","Nej, No","","","","","","Ja (Yes)","9","6","Ja (Yes)","10","6","Ja (Yes)","8","4","Ja (Yes)","6","3","Ja (Yes)","5","2","Nej (No)","","","Ja (Yes)","8","3","Ja (Yes)","9","4","Nej (No)","","","Ja (Yes)","8","3","Ja (Yes)","5","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","1","Nej (No)","","","Nej (No)","","","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 9:08:51 PM GMT+2","Kvinde (Woman)","33","18","Gift (Married","Nej (No)","6","5","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om året (A few times a year)","Nej (No)","","Nej (No)","","","","","","","Nej, No","","","","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","4","Ja (Yes)","7","3","Nej (No)","","","Ja (Yes)","6","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","7","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Medier - film, tv, osv. (Media - movies, TV, etc)",""
"2022/06/02 9:12:54 PM GMT+2","Mand (Man)","58","25","Gift (Married","Ja (yes)","9","10","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Joys","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Nej (No)","Nej (No)","","Ja, Yes","1","Sociale medie (Social media)","Nej (No)","Nej (No)","","Ja (Yes)","10","8","Ja (Yes)","10","9","Ja (Yes)","10","5","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","8","Ja (Yes)","8","8","Ja (Yes)","9","9","Ja (Yes)","10","6","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","6","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","3","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 9:17:38 PM GMT+2","Kvinde (Woman)","24","17","I et forhold (In a relationship)","Nej (No)","7","4","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","Nej (No)","","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","6","6","Nej (No)","","","Ja (Yes)","5","2","Ja (Yes)","4","2","Nej (No)","","","Ja (Yes)","3","2","Nej (No)","","","Ja (Yes)","7","2","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 9:18:23 PM GMT+2","Kvinde (Woman)","32","14","Single","Nej (No)","7","9","Nej (No)","","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan","2-5","Sociale medie (Social media)","Ja (Yes)","Ja (Yes)","Er spændt på at prøve nye ting og blive set på","Nej, No","","","","","","Ja (Yes)","7","6","Ja (Yes)","10","4","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","5","Nej (No)","","","Ja (Yes)","7","5","Ja (Yes)","8","3","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","5","Nej (No)","","","Ja (Yes)","5","1","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","2","","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
