"Timestamp","Køn (Gender) ","Alder (Age)","Nationalitet (Nationality) ","Bopælsland (Country of residence) ","Hvad er din civilstatus? (What is your relationship status?) ","Er du i et åbent forhold? (Are you in an open relationship?)","
Hvor længe har du været seksuelt aktiv? (How long have you been sexually active?)","Hvor tilfreds er du med dit sexliv? (How satisfied are you with your sex life?)","Hvor seksuelt eventyrlysten vil du sige, at du er? (How sexually adventurous would you say you are?)","I hvor høj grad betragter du dig selv som nysgerrig med hensyn til udforskning af seksuelle kinks? (To what extent do you consider yourself curious regarding exploration of sexual kinks?)","Onanerer du? (Do you masturbate?)","Hvor ofte plejer du at onanere? (How often do you usually masturbate?)","Ser du porno? (Do you watch porn?)","Hvor ofte ser du normalt porno? (How often do you usually watch porn?)","Har du nogensinde været i swingerklub? (Have you ever been to a swinger club?)","Sæt kryds ved alle du har besøgt. (Which one(s)? Check all that apply.)","Hvor mange gange har du været i swingerklub? (How many times have you been to a swinger club?) ","Hvordan fandt du klubben? (How did you find out about the club?) ","Ved dine venner at du swinger? ","Har klubben påvirket dine seksuelle interesser? (Has the club affected your sexual interests?)","Hvordan har det påvirket dine seksuelle interesser? (How as it affected your sexual interests?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Skriv eventuelle manglende kinks/interesser du har. (Write in any missing kinks/interests you participate in.) ","Nogle rapporterer, at de afholder sig fra at/ engagere sig i kink(s), de er interesserede i, fordi de føler, at det/de er et tabu. Beskriver dette også dig? (Some report that they refrain from engaging in kink(s) they are interested, in because they feel it/they are taboo. Does this describe you as well?)   ","Hvor tror du, dine seksuelle interesser kommer fra? (marker alt hvad der er relevant) (Where do you think your sexual interests have come from? (check all that apply))","Har dine seksuelle interesser ændret sig over tid? (Have your sexual interests changed over time?) ","Del venligst hvilke situationer eller tilfælde du mener har fået dine interesser til at udvikle sig (Share what situations or instances you believe have caused your interests to evolve.) ","Hvis du har andet du vil dele, eller kommentarer, kan du skrive dem her. (Any final thoughts you want to share?)"
"2022/11/02 7:03:02 AM GMT+1","Kvinde (Woman)","37","Dansk","Danmark","I et forhold (In a relationship)","Ja (yes)","21","10","10","10","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Dark Secret;Afrodite club","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Ja (Yes)","Begyndt med SM","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","5","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","",""
"2022/11/02 7:41:12 AM GMT+1","Mand (Man)","51","Dansk","Danmark","Gift (Married)","Nej (No)","35 år","3","9","9","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Tucan","2-5","Venner (Friends)","Ja (Yes)","Nej (No)","Ingen påvirkning ","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","7","Et par gange om måneden (few times a month)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","7","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Ja (Yes)","7","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Mindre end en gang om  (Less than once a year)","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn)","Ja (Yes)","Almindelig udvikling med alderen og partnere",""
"2022/11/02 3:57:35 PM GMT+1","Kvinde (Woman)","39","Dansk","Danmark ","I et forhold (In a relationship)","Ja (yes)","Siden jeg var 14 år","7","10","10","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Dark Secret;Afrodite club","10+","Første gang var for 20 år siden og det var via annonce i avisen","Nej (No)","Nej (No)","Stimulerede dem","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","7","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Painslut","Ja (Yes)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn)","Ja (Yes)","Jeg har mødt en mand der forstår mine tanker og som ser mig",""
"2022/11/02 4:13:33 PM GMT+1","Kvinde (Woman)","28","Dansk","Danmark ","Gift (Married)","Ja (yes)","16 år","7","10","3","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Dark Secret;Afrodite club;Joys","10+","Søgt online (Searched online)","Nej (No)","Nej (No)","Vi har ikke knækket koden endnu, men når vi har haft kemi møder er det gået godt ","Ja (Yes)","7","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Ja (Yes)","10","En gang om måned (Once a month)","Ja (Yes)","10","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Ja (Yes)","10","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","","Ja (Yes)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc)","Ja (Yes)","",""
"2022/11/02 11:43:24 PM GMT+1","Kvinde (Woman)","46","Dansk","Danmark ","I et forhold (In a relationship)","Nej (No)","29år","8","10","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Afrodite club","10+","Venner (Friends)","Ja (Yes)","Nej (No)","","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","7","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","9","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","En gang om måned (Once a month)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Swingerklub (Swinger club)","Ja (Yes)","",""
"2022/11/03 6:46:37 PM GMT+1","Mand (Man)","32","dansk","","Single","Nej (No)","16år","8","7","6","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Tucan;Dark Secret;Afrodite club;Euroclub 300 da den fandtes","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","har fundet ud af mange flere ting om mig selv. og hvad jeg er til og ikke til..","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","","Et par gange om måneden (few times a month)","Ja (Yes)","","Et par gange om måneden (few times a month)","Ja (Yes)","","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","","Et par gange om måneden (few times a month)","Ja (Yes)","","En gang om måned (Once a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Swingerklub (Swinger club)","Ja (Yes)","troede aldrig jeg ville tænde på smæk.. men efter en prøvelse fandt jeg ud af det tænder mig utrolig meget",""
"2022/11/03 6:47:35 PM GMT+1","Kvinde (Woman)","25","Dansk","Danmark ","Single","Nej (No)","I 8 år ","5","3","3","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Dark Secret;CitySwingers;CitySwingers 2;Joys;El Diablo ","10+","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Jeg har prøvet ting jeg ellers ikke ville have prøvet og jeg har lært nye ting om mig selv","Ja (Yes)","8","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","8","En gang om måned (Once a month)","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","","Et par gange om året (A few times a year)","Ja (Yes)","7","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","Et par gange om måneden (few times a month)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Swingerklub (Swinger club)","Ja (Yes)","Fx at se andre dyrke det i klub og få hørt deres tanker og følelser bag ",""
"2022/11/03 6:50:50 PM GMT+1","Mand (Man)","40","Dansk","Danmark ","Gift (Married)","Nej (No)","25","6","10","10","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Tucan;Dark Secret;Swingergaarden;Afrodite club","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Blevet meget bevist om hvad jeg vil have og kan give","Ja (Yes)","8","En gang om måned (Once a month)","Ja (Yes)","6","En gang om måned (Once a month)","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","En gang om måned (Once a month)","Ja (Yes)","","Et par gange om måneden (few times a month)","Ja (Yes)","","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","En gang om måned (Once a month)","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Ja (Yes)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc)","Ja (Yes)","",""
"2022/11/03 6:54:15 PM GMT+1","Kvinde (Woman)","26","Dansk","Danmark","Gift (Married)","Nej (No)","6 år","9","9","2","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Dark Secret;Swingergaarden","6-10","Venner (Friends)","Nej (No)","Ja (Yes)","Gjort mig meget mere nysgerrig på at prøve nye ting og finde nye seksuelle interesser","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","7","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Ja (Yes)","8","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Swingerklub (Swinger club)","Ja (Yes)","Min partner og vores besøg i swingerklub",""
"2022/11/03 6:55:40 PM GMT+1","Kvinde (Woman)","48","Dansk","Danmark ","I et forhold (In a relationship)","Ja (yes)","Siden 14-års alderen ","9","9","9","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Dark Secret;Swingergaarden;ElDiablo","10+","Søgt online (Searched online)","Ja (Yes)","Nej (No)","","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","9","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","8","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","8","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Bloodplay","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn)","Ja (Yes)","Fantasier opfyldt, grænser skubbet til efter eget ønske, blevet mere modig. Blevet sikker på at jeg er elsket uanset hvad, og at der er plads til hele mig. ",""
"2022/11/03 6:56:03 PM GMT+1","Mand (Man)","37","Dansk","Danmark ","I et forhold (In a relationship)","Nej (No)","21 år","8","10","8","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Dark Secret;Afrodite club","10+","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Gjort jeg oplever det jeg søgte","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","8","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Ja (Yes)","7","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","7","Et par gange om måneden (few times a month)","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","Et par gange om måneden (few times a month)","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires)","Ja (Yes)","Swingerklub ",""
"2022/11/03 7:00:20 PM GMT+1","Kvinde (Woman)","23","Dansk","Fyn Danmark","","Ja (yes)","8 år","8","10","10","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Tucan;Dark Secret;Afrodite club","6-10","Sociale medie (Social media)","Ja (Yes)","Ja (Yes)","Fået større sexlyst og lyst til at prøve flere ting som BDSM. ","Ja (Yes)","8","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","8","En gang om måned (Once a month)","Ja (Yes)","6","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","5","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","7","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","6","En gang om måned (Once a month)","Ja (Yes)","6","Et par gange om måneden (few times a month)","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","7","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","Efter at jeg har åbnet mit forhold og startet i swingerclub ",""
"2022/11/03 7:06:11 PM GMT+1","Kvinde (Woman)","44","Dansk","Danmark","Gift (Married)","Ja (yes)","26 år","9","10","10","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Dark Secret;Joys;Kink Klub","10+","Søgt online (Searched online)","Nej (No)","Ja (Yes)","At jeg er til bdsm, hvilket jeg ikke vidste før swingerlivet","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","8","En gang om måned (Once a month)","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","","En gang om måned (Once a month)","Ja (Yes)","","Et par gange om året (A few times a year)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Swingerklub (Swinger club)","Ja (Yes)","Porno",""
"2022/11/03 7:06:46 PM GMT+1","Kvinde (Woman)","45","Dansk","Danmark","Polyamorøs og i forhold med 2 mænd","Ja (yes)","Siden jeg var 15 år","8","9","8","Nej (No)","","Nej (No)","","Ja (Yes)","Tucan;Dark Secret;Swingergaarden;Afrodite club","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Fået afprøvet flere ting, samt fået interesse for at prøve noget nyt","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","7","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Ja (Yes)","","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","Ved at besøge swinger/bdsm-klubber, samt snakke med folk fra disse miljøer","Ved spørgsmålet stag, kunne jeg kun trykke “nej”. Ellers kunne jeg ikke komme videre… Men svaret er altså “ja”"
"2022/11/03 7:07:14 PM GMT+1","Mand (Man)","44","Dansk","Danmark","Gift (Married)","Nej (No)","29","7","9","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Dark Secret","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Nej (No)","Nej (No)","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Ja (Yes)","Mine egne tanker og lyster (My own thoughts and desires);Porno (porn)","Nej (No)","",""
"2022/11/03 7:12:16 PM GMT+1","Kvinde (Woman)","34","Dansk","Odense ","I et forhold (In a relationship)","Nej (No)","Siden jeg var 14","8","8","8","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Dark Secret;CitySwingers 2","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Det har gjort mig mere nysgerrig ","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","6","Et par gange om måneden (few times a month)","Ja (Yes)","4","Mindre end en gang om  (Less than once a year)","Ja (Yes)","7","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","5","Mindre end en gang om  (Less than once a year)","Ja (Yes)","7","Mindre end en gang om  (Less than once a year)","Ja (Yes)","7","Et par gange om måneden (few times a month)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","4","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","7","Et par gange om måneden (few times a month)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","Har selv haft lyst til at prøve nogle ting, som jeg så har kunnet udføre sammen med en partner eller ""tilfældig"". Og så er jeg blevet introduceret til nogle ting, af partnere. ",""
"2022/11/03 7:12:31 PM GMT+1","Kvinde (Woman)","50","Dansk","Dk","Single","Nej (No)","32 år","4","8","6","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Dark Secret","6-10","Søgt online (Searched online)","Nej (No)","Ja (Yes)","Større nysgerrighed ","Nej (No)","","","Ja (Yes)","5","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Swingerklub (Swinger club)","Ja (Yes)","Mindre blufærdig med alderen ",""
